CPU,Memory,Disk,Failure
38.708610696262625,51.54003009864998,58.52189876925726,0
90.56428757689245,81.18411015192524,25.04839789970293,1
70.87945476302646,65.40344307274,29.697722845676825,1
58.8792635777333,74.91996386707044,73.91325131162475,1
19.041677639819287,94.47075722237855,56.3857435795754,1
19.03950683025824,62.215319228294874,20.55182309699778,0
10.227525095137953,70.10876322874586,26.088292571961926,0
82.95585311974416,87.02200578860939,59.81010614648335,1
59.10035105688879,61.2111101090895,20.30369503077312,1
68.7265320016441,53.77201558161086,29.648483085049918,1
6.85260448662222,64.19782119277463,52.924027361995165,0
92.29188669457949,57.89984307544621,61.513711861561596,1
79.91983767203796,95.55518496478608,59.11767557015603,1
24.110519961044854,89.59789859865643,33.45615856763359,1
21.364247048639054,81.03678406901075,62.73075328085215,1
21.506405886809045,92.70156891919817,34.23494524980801,1
32.381801866358394,89.37993176805661,39.52398188955606,1
52.228078846901404,59.141932885415756,64.78948430708145,1
43.87505167779042,93.7353909260089,58.97797394283288,1
31.210622617823773,76.42776985386689,70.95340462965068,1
60.06676052501415,89.56456760303907,59.4567735380206,1
17.554447458683764,93.90847369625118,54.098516200128294,1
31.293018368169633,65.58217027362133,25.620486069685548,0
37.97256589643225,55.39254430185616,42.06294818356601,0
46.046298579533236,61.16882296455514,35.91214206090353,1
75.66583652537122,70.92828164268656,34.63937860274501,1
22.970640394252378,90.08272353020216,78.38063328514673,1
51.28109945722505,92.17579857956082,43.58586348000563,1
58.31731119758382,50.34065439602834,73.5227933106268,1
9.180537144799796,75.02661782630072,57.86831755983577,0
59.67903667112945,70.45313915429017,67.6886782124989,1
20.347171131856236,60.88328271306578,50.15822558631153,0
10.854643368675156,55.87340299935046,54.614233077581545,0
90.39969835279999,66.54314339877777,49.55106162913184,1
91.90688297671034,96.20257549171345,31.71457926788267,1
77.7557613304815,65.836943669017,63.34712691569032,1
32.41523922560336,75.42074046542494,36.846341746451344,0
13.790490260574549,84.44792898586371,21.45895798588723,0
66.58097238609412,67.81785051658541,58.72833775443007,1
44.61372443656412,97.61732205332707,30.626640764422937,1
15.983441136030095,97.15991745216346,76.42751506117486,1
49.56592191001432,62.337332495442844,77.23571462015525,1
8.094966900369656,74.36517678872688,74.89186341322691,1
86.83883618709038,64.74303718102172,42.20952201532666,1
28.290198344001524,63.95718422449591,20.927396991732046,0
64.62700559185838,51.80746042037211,75.69911375526353,1
33.053996848046985,79.86865236501495,45.69104889903886,0
51.80612190600297,74.63127213821421,77.99928914262017,1
54.203925140895166,52.52245881124948,77.81719862535516,1
21.636900997297435,63.65367674759396,71.1805673280416,1
92.26261649881027,94.50502841236603,37.66693352417514,1
74.76195410250031,61.73853264268165,43.105863716115515,1
89.55490474077702,57.09984873246993,71.06820029101141,1
85.5344615384884,73.9831852536006,39.01532030937666,1
58.810998092997664,98.29687225141944,30.16956480116555,1
87.96868115208052,61.86070830406352,53.40807574750101,1
12.964325184672756,82.93464182288804,76.16928644964686,1
22.638457617723066,87.31936115110716,61.76178780049838,1
9.070456001948425,61.64423965562759,54.203670205361895,0
34.27972976869379,85.68260108198112,25.830589626246113,0
39.98095607205338,68.02137350324341,56.90043360195018,0
29.421412859650633,80.98298569908539,79.4032310062558,1
79.58637582367363,81.04295582728383,28.405040914191442,1
37.10779940242303,76.25295951966316,51.0997791418242,0
30.28410587186427,54.42419873266601,72.64238431567733,1
53.84264748424236,90.92982228387265,64.44611706525227,1
17.683180247728636,65.71822318361505,61.82094445971608,1
77.19772826786357,59.13940700959286,62.14904503922656,1
11.709557931179374,51.99798193618343,41.56946907318531,0
93.81982429404655,78.95375421622384,37.6155106558696,1
74.50202923669917,83.20065373027184,68.56166932871082,1
22.884411338075516,50.81280361746495,68.60680368075084,1
5.496990541124216,75.09255985666476,72.02433911480622,1
78.39152856093507,61.09829298469896,74.79443315338827,1
68.61716094628554,81.61346673006304,50.68054393165627,1
70.61064512368885,58.54395502124458,50.090977681231976,1
74.41433120173512,83.85594916702084,67.89771073800651,1
11.664018656068134,68.95003196872634,58.99783584666591,0
37.261915568984534,95.89976944809999,62.1180126354622,1
15.428215357261674,56.73852626315367,67.74756016616607,1
82.67930832880342,66.71225120146266,73.40032050905398,1
61.096831414480214,55.560202540788865,40.27970941109215,1
34.78082223673843,95.30998729564958,42.53497715839664,1
10.720251525742128,92.98962831566807,25.638916390452138,1
32.9884089544096,62.639139758042624,54.69680845977044,0
34.266498982407235,82.33921825567478,22.156536427804525,0
70.66455605042577,90.04388780985957,47.93588108794761,1
62.38017242196918,77.20483976837366,52.5586780824546,1
84.84914683186939,75.95287833944431,37.192475127697065,1
47.49934326457544,61.85076225412213,55.44999563414065,1
15.763482134447154,54.56203562248906,21.830014996342967,0
69.19203085006956,93.96357213971301,22.240891324952866,1
73.47065437552077,94.12048480100319,69.3560336395795,1
55.51494778125466,81.02197140639012,41.61143848467577,1
74.38704619591049,66.61245976138633,27.623630759113087,1
49.44160367279517,67.11126915602038,51.334595603288264,1
52.045954644379464,85.57182826464174,66.19961318591665,1
43.47869165226947,93.95840273767628,32.949261649810595,1
7.287721406968567,93.46723478899075,57.373428549140016,1
14.7102284293974,88.21390174702357,25.120847899626078,1
